Lic Regn	Lic Dist	Lic Cnty	Lic Type	Lic Xprdte	Lic Seqn	License Name	Business Name	Premise Street	Premise City	Premise State	Premise Zip Code	Mail Street	Mail City	Mail State	Mail Zip Code	Voice Phone
9	92	020	01	9C	02663	10MM BELOW LLC	ALASKA AMMO	2840 B COMMERCIAL DRIVE	ANCHORAGE	AK	99501	2840 B COMMERCIAL DRIVE	ANCHORAGE	AK	99501	9078687676
9	92	020	01	7C	02271	BASS PRO OUTDOOR WORLD LLC	BASS PRO SHOPS OUTPOST- ANCHORAGE	3046 MT VIEW DRIVE	ANCHORAGE	AK	99501	2500 E KEARNEY ST ATTN TAX & LICENSE DIV	SPRINGFIELD	MO	65898	9073305200
9	92	020	01	8G	00021	"METZGER, YALE HYDER"	NULL	310 WEST 11TH AVE	ANCHORAGE	AK	99501	310 WEST 11TH AVE	ANCHORAGE	AK	99501	9072777245
9	92	020	01	8C	01878	CLASSIC ALASKA TRADING/BIG RAYS ALASKA INC	BIG RAYS	320 W 4TH AVE	ANCHORAGE	AK	99501	320 W 4TH AVE	ANCHORAGE	AK	99501	9072792401
9	92	020	01	8E	35018	"COMEAU, ROBERT OSCAR JR"	NULL	835 NELCHINA ST	ANCHORAGE	AK	99501	835 NELCHINA ST	ANCHORAGE	AK	99501	9075292239
9	92	020	02	7D	02412	"BARR, BARRY ALLEN"	GRANNY'S GUNS AND LOAN	2000 E DOWLING RD # 4	ANCHORAGE	AK	99501	2000 E DOWLING RD # 4	ANCHORAGE	AK	99507	9072224867
9	92	020	01	6H	02218	TRAILBOSS ENTERPRISES INC	NULL	201 E 3RD AVE	ANCHORAGE	AK	99501	201 E 3RD AVE	ANCHORAGE	AK	99501	9073388243
9	92	020	01	6F	02250	GRUBSTAKE AUCTION CO INC.	GRUBSTAKE AUCTION CO INC.	2132 N POST RD	ANCHORAGE	AK	99501	P O BOX 201667	ANCHORAGE	AK	99520	9072749269
9	92	020	02	8H	00964	CASH AMERICA INC OF ALASKA	CASH AMERICA PAWN	1413 GAMBELL ST	ANCHORAGE	AK	99501	1600 W 7TH ST	FORT WORTH	TX	76102	9077701618
9	92	020	01	9A	35391	"BARBER, HUGH"	DENALI WILDERNESS CARGO	1117 H ST	ANCHORAGE	AK	995010000	1117 H ST	ANCHORAGE	AK	995010000	9072741259
9	92	020	01	7K	05010	"HANSON, WILLIAM R"	WILLIAM HANSON GUNSMITH	1704 ORCA PL	ANCHORAGE	AK	995010000	1704 ORCA PL	ANCHORAGE	AK	995010000	9072783086
9	92	020	01	7H	33773	"WELLS, LANCE CHRISTIAN"	BIG BANG GUNS	733 W 4TH #308	ANCHORAGE	AK	995010000	733 W 4TH #308	ANCHORAGE	AK	995010000	9072749393
