Lic Regn	Lic Dist	Lic Cnty	Lic Type	Lic Xprdte	Lic Seqn	License Name	Business Name	Premise Street	Premise City	Premise State	Premise Zip Code	Mail Street	Mail City	Mail State	Mail Zip Code	Voice Phone
8	52	017	02	7M	04099	"SOUTHERN MARYLAND PAWN BROKERS, LLC"	NULL	2224 CRAIN HIGHWAY	WALDORF	MD	20601	2224 CRAIN HIGHWAY	WALDORF	MD	20601	2402223547
8	52	017	01	6M	07141	KARPFANY LLC	NULL	2726 ALBERMARLE PL	WALDORF	MD	20601	2726 ALBERMARLE PL	WALDORF	MD	20601	2403462631
8	52	017	01	7G	03904	TARGET ACQUIRED LLC	NULL	3555 LEONARDTOWN ROAD UNIT 7	WALDORF	MD	20601	3555 LEONARDTOWN ROAD UNIT 7	WALDORF	MD	20601	2404192929
8	52	017	01	7J	35808	"FRUH, FRANK HENRY"	F & F DISTRIBUTING	13025 WALDORF FOREST RD	WALDORF	MD	206010000	13025 WALDORF FOREST RD	WALDORF	MD	206010000	3016455536
8	52	017	01	6F	06228	"ANNIEGETURGUN, INC."	NULL	21 INDUSTRIAL PARK DR STE 201E	WALDORF	MD	20602	12404 LYTTON AVE	BRANDYWINE	MD	20613	3016455200
8	52	017	07	7K	00632	"PLATT, BRIAN THOMAS"	BTP ARMS	7 JAY GOULD COURT UNIT 14	WALDORF	MD	20602	1282 SMALLWOOD DRIVE WEST #105	WALDORF	MD	20603	3018612213
8	52	017	01	7M	35963	"FREED, CRAIG ALAN"	CAF ENTPR	812 BRANDON RD	WALDORF	MD	206020000	812 BRANDON RD	WALDORF	MD	206020000	3016458820
8	52	017	01	7G	03844	TACTICAL HARDWARE AND SUPPLY LLC	NULL	10648 ASHFORD CIR	WALDORF	MD	20603	10648 ASHFORD CIR	WALDORF	MD	20603	2404275109
8	52	017	01	8K	01040	"DICK'S SPORTING GOODS, INC."	"DICK'S SPORTING GOODS, INC. (#143)"	11080 MALL CIRCLE ROAD	WALDORF	MD	20603	345 COURT STREET	CORAOPOLIS	PA	15108	3018851762
8	52	017	01	6D	05870	TALLEY JEWELRY INC	NULL	3200 CRAIN HWY  STE 102	WALDORF	MD	20603	3200 CRAIN HWY  STE 102	WALDORF	MD	20603	3016455144
8	52	037	01	6D	01140	"RUSSELL, ROBERT ALLAN JR"	NULL	21585 GERARD'S COVE RD	ABELL	MD	20606	21585 GERARD'S COVE RD	ABELL	MD	20606	3019043338
8	52	033	11	6J	02170	BERETTA USA CORP	NULL	17601 BERETTA DR	ACCOKEEK	MD	20607	17601 BERETTA DR	ACCOKEEK	MD	20607	3012832191
8	52	033	08	9B	00241	STOEGER INDUSTRIES INC	NULL	17603 INDIAN HEAD HWY SUITE 200	ACCOKEEK	MD	20607	17603 INDIAN HEAD HWY SUITE 200	ACCOKEEK	MD	20607	3012836981
8	52	033	10	6J	02169	BERETTA USA CORP	NULL	17601 BERETTA DR	ACCOKEEK	MD	20607	17601 BERETTA DR	ACCOKEEK	MD	20607	3012832191
